"Reporting starts","Reporting ends","Ad name","Ad delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (BRL)",Impressions,Reach,Ends,"Attribution setting",Bid,"Bid type","Last significant edit","Quality ranking","Engagement rate ranking","Conversion rate ranking","Ad set name"
2026-01-06,2026-01-06,"[CAMPEÕES CR05]",active,182,actions:onsite_conversion.messaging_conversation_started_7d,1.2782967,"Using campaign budget",0,232.65,13119,12343,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-12-26T19:48:05-0300,"Above average",Average,"Above average",[INSTAGRAM]
2026-01-06,2026-01-06,"[CAMPEÕES CR01]",active,75,actions:onsite_conversion.messaging_conversation_started_7d,1.3128,"Using campaign budget",0,98.46,4666,4348,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-12-26T19:48:05-0300,Average,Average,"Above average",[INSTAGRAM]
2026-01-06,2026-01-06,"[CAMPEÕES CR08]",active,17,actions:onsite_conversion.messaging_conversation_started_7d,1.47,"Using campaign budget",0,24.99,1046,955,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-12-26T19:48:05-0300,-,-,-,[INSTAGRAM]
2026-01-06,2026-01-06,"[TRABALHA +1 ANO]",active,2,actions:onsite_conversion.messaging_conversation_started_7d,1.585,"Using campaign budget",0,3.17,112,108,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-12-26T21:19:48-0300,-,-,-,"[CRIATIVOS ANTIGOS]"
2026-01-06,2026-01-06,"[CAIXA DE PERGUNTAS]",active,548,actions:onsite_conversion.messaging_conversation_started_7d,1.02720803,"Using campaign budget",0,562.91,30165,25996,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-12-26T21:19:48-0300,Average,"Above average","Above average","[CRIATIVOS ANTIGOS]"
2026-01-06,2026-01-06,"[CAMPEÕES CR01-A]",active,346,actions:onsite_conversion.messaging_conversation_started_7d,1.20459538,"Using campaign budget",0,416.79,20320,17713,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-12-26T20:36:30-0300,Average,Average,"Above average",[ABERTO]
2026-01-06,2026-01-06,"[CAMPEÕES CR05-A]",active,136,actions:onsite_conversion.messaging_conversation_started_7d,1.28529412,"Using campaign budget",0,174.8,7144,6600,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-12-26T20:36:30-0300,Average,Average,"Above average",[ABERTO]
2026-01-06,2026-01-06,"[CAMPEÕES CR08-A]",active,,,,"Using campaign budget",0,0.1,4,4,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-12-26T20:36:30-0300,-,-,-,[ABERTO]
2026-01-06,2026-01-06,[CR13-A],active,,,,"Using campaign budget",0,0.52,53,50,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-12-26T23:30:28-0300,-,-,-,[ABERTO]
2026-01-06,2026-01-06,[CR14-A],active,,,,"Using campaign budget",0,0,0,0,Ongoing,-,0,ABSOLUTE_OCPM,2025-12-26T23:30:28-0300,-,-,-,[ABERTO]
2026-01-06,2026-01-06,[CR15-A],active,4,actions:onsite_conversion.messaging_conversation_started_7d,2.105,"Using campaign budget",0,8.42,317,298,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-12-26T23:30:28-0300,-,-,-,[ABERTO]
2026-01-06,2026-01-06,[CR16-A],active,,,,"Using campaign budget",0,0,0,0,Ongoing,-,0,ABSOLUTE_OCPM,2025-12-26T23:30:28-0300,-,-,-,[ABERTO]
2026-01-06,2026-01-06,[CR17-A],active,412,actions:onsite_conversion.messaging_conversation_started_7d,1.17706311,"Using campaign budget",0,484.95,12064,10723,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-12-26T23:30:28-0300,Average,Average,"Above average",[ABERTO]
2026-01-06,2026-01-06,[CR18-A],active,,,,"Using campaign budget",0,0.02,2,2,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-12-26T23:30:28-0300,-,-,-,[ABERTO]
2026-01-06,2026-01-06,[CR19-A],active,,,,"Using campaign budget",0,0.01,1,1,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-12-26T23:30:28-0300,-,-,-,[ABERTO]
2026-01-06,2026-01-06,[CR20-A],active,1,actions:onsite_conversion.messaging_conversation_started_7d,0.1,"Using campaign budget",0,0.1,7,7,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-12-26T23:30:28-0300,-,-,-,[ABERTO]
2026-01-06,2026-01-06,[CR21-A],active,,,,"Using campaign budget",0,0.01,3,3,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-12-26T23:30:28-0300,-,-,-,[ABERTO]
